w1	w2	editsim
adaşlık	ayyaşlık	0.75
adaşlık	daraşlık	0.75
adaşlık	kandaşlık	0.7777777777777778
adaşlık	nadanlık	0.75
adaşlık	oydaşlık	0.75
adaşlık	paydaşlık	0.7777777777777778
adaşlık	yanaşlık	0.75
adaşlık	yandaşlık	0.7777777777777778
adaşlık	çağdaşlık	0.7777777777777778
adbilim	taşbilim	0.75
adcılık	akıcılık	0.75
adcılık	alıcılık	0.75
adcılık	aracılık	0.75
adcılık	arıcılık	0.75
adcılık	atacılık	0.75
adcılık	atıcılık	0.75
adcılık	avcılık	0.8571428571428572
adcılık	ayıcılık	0.75
adcılık	ağcılık	0.8571428571428572
adcılık	aşıcılık	0.75
adcılık	balcılık	0.75
adcılık	barcılık	0.75
adcılık	bağcılık	0.75
adcılık	camcılık	0.75
adcılık	cazcılık	0.75
adcılık	dadacılık	0.7777777777777778
adcılık	dağcılık	0.75
adcılık	falcılık	0.75
adcılık	hancılık	0.75
adcılık	hazcılık	0.75
adcılık	malcılık	0.75
adcılık	odacılık	0.75
adcılık	salcılık	0.75
adcılık	savcılık	0.75
adcılık	sazcılık	0.75
adcılık	sağcılık	0.75
adcılık	yağcılık	0.75
adcılık	zağcılık	0.75
adcılık	çancılık	0.75
adcılık	çaycılık	0.75
adembaba	âdembaba	0.875
ademcilik	akademicilik	0.75
ademcilik	alemcilik	0.8888888888888888
ademcilik	kadercilik	0.8
ademcilik	madencilik	0.8
ademcilik	âdemcilik	0.8888888888888888
ademcilik	âlemcilik	0.7777777777777778
ademelması	âdemelması	0.9
ademimerkeziyet	ademimerkeziyetçi	0.8823529411764706
ademimerkeziyet	ademimerkeziyetçilik	0.75
ademimerkeziyetçi	ademimerkeziyetçilik	0.85
ademimerkeziyetçilik	merkeziyetçilik	0.75
ademiyet	aleniyet	0.75
ademiyet	cemiyet	0.75
ademiyet	kemiyet	0.75
ademiyet	âdemiyet	0.875
ademoğlu	âdemoğlu	0.875
adilik	ahilik	0.8333333333333334
adilik	asilik	0.8333333333333334
adilik	gadirlik	0.75
adilik	maddilik	0.75
adilik	sadiklik	0.75
adisyon	edisyon	0.8571428571428572
adisyon	tradisyon	0.7777777777777778
adlandırma	adlandırım	0.8
adlandırma	adlandırış	0.8
adlandırma	akıllandırma	0.75
adlandırma	canlandırma	0.8181818181818181
adlandırma	gamlandırmak	0.75
adlandırma	havalandırma	0.75
adlandırma	puanlandırma	0.75
adlandırma	uslandırma	0.8
adlandırma	yapılandırma	0.75
adlandırılış	adlandırım	0.75
adlandırılış	adlandırış	0.8333333333333334
adlandırım	adlandırış	0.9
adlandırım	canlandırım	0.8181818181818181
adliye	adliyeci	0.75
adliye	akliye	0.8333333333333334
adliye	asliye	0.8333333333333334
adliyeci	akliyeci	0.875
adliyeci	ardiyeci	0.75
adliyeci	maliyeci	0.75
adliyeci	nakliyeci	0.7777777777777778
adıyaman	adıyamanlı	0.8
aerodinamik	hidrodinamik	0.75
aerodinamik	jeodinamik	0.8181818181818181
aerodinamik	termodinamik	0.8333333333333334
aeroloji	antoloji	0.75
aeroloji	astroloji	0.7777777777777778
aeroloji	ekoloji	0.75
aeroloji	etoloji	0.75
aeroloji	fenoloji	0.75
aeroloji	jeoloji	0.75
aeroloji	metroloji	0.7777777777777778
aeroloji	nekroloji	0.7777777777777778
aeroloji	nevroloji	0.7777777777777778
aeroloji	nöroloji	0.75
aeroloji	pedoloji	0.75
aeroloji	petroloji	0.7777777777777778
aeroloji	teoloji	0.75
aeroloji	viroloji	0.75
aeroloji	üroloji	0.75
afacan	afakan	0.8333333333333334
afacanlık	alacalık	0.7777777777777778
afacanlık	avadanlık	0.7777777777777778
afacanlık	babacanlık	0.8
afacanlık	lafazanlık	0.8
afakan	hafakan	0.8571428571428572
afakilik	ahlakilik	0.7777777777777778
afakilik	asabilik	0.75
afakilik	fakirlik	0.75
afakilik	makilik	0.75
afakilik	şakilik	0.75
aferist	baterist	0.75
affediliş	affedilme	0.7777777777777778
affediliş	affediş	0.7777777777777778
affetme	atfetme	0.8571428571428572
affetme	hazfetme	0.75
afganistan	afganistanlı	0.8333333333333334
afganistanlı	yunanistanlı	0.75
afiyet	ariyet	0.8333333333333334
afiyet	izafiyet	0.75
afiyet	muafiyet	0.75
afiyet	safiyet	0.8571428571428572
afiyet	zafiyet	0.8571428571428572
afişleme	asitleme	0.75
afişleme	ateşleme	0.75
afişleme	dişleme	0.75
afişleme	işleme	0.75
afişçilik	dişçilik	0.7777777777777778
afişçilik	fitçilik	0.7777777777777778
afişçilik	işçilik	0.7777777777777778
aforizm	aforizma	0.875
aforizm	laforizma	0.7777777777777778
aforizma	laforizma	0.8888888888888888
afrika	afrikalı	0.75
afrikalı	amerikalı	0.7777777777777778
afsuncu	efsuncu	0.8571428571428572
afsunculuk	efsunculuk	0.9
afyonkarahisar	afyonkarahisarlı	0.875
aganta	avanta	0.8333333333333334
agaragar	gargar	0.75
aglütinasyon	halüsinasyon	0.75
agnosi	agnostik	0.75
agnosi	agnozi	0.8333333333333334
agnotoloji	antoloji	0.8
agreman	antreman	0.75
agronomi	astronomi	0.7777777777777778
ahbaplık	ahmaklık	0.75
ahbaplık	akbalık	0.75
ahbaplık	albaylık	0.75
ahenksizlik	albenisizlik	0.75
ahenksizlik	renksizlik	0.8181818181818181
ahilik	asilik	0.8333333333333334
ahilik	bahailik	0.75
ahilik	cahillik	0.75
ahilik	dahilik	0.8571428571428572
ahilik	kahillik	0.75
ahilik	kahinlik	0.75
ahilik	rahiplik	0.75
ahilik	sahihlik	0.75
ahilik	sahiplik	0.75
ahilik	sathilik	0.75
ahilik	vahşilik	0.75
ahilik	yahşilik	0.75
ahilik	şahitlik	0.75
ahiret	aşiret	0.8333333333333334
ahlakiyat	laklakiyat	0.8
ahlaklılık	ahlaksızlık	0.8181818181818181
ahlaklılık	ahlakçılık	0.9
ahlaklılık	aylakçılık	0.8
ahlaksızlık	ahlakçılık	0.8181818181818181
ahlaksızlık	alakasızlık	0.8181818181818181
ahlaksızlık	allahsızlık	0.8181818181818181
ahlaksızlık	anlamsızlık	0.8181818181818181
ahlaksızlık	haksızlık	0.8181818181818181
ahlaksızlık	ihlassızlık	0.8181818181818181
ahlaksızlık	sağlıksızlık	0.75
ahlakçı	ahlâkçı	0.8571428571428572
ahlakçı	aylakçı	0.8571428571428572
ahlakçılık	anlıkçılık	0.8
ahlakçılık	arakçılık	0.8
ahlakçılık	aylakçılık	0.9
ahlakçılık	emlakçılık	0.8
ahlakçılık	lakçılık	0.8
ahlakçılık	otlakçılık	0.8
ahlakçılık	plakçılık	0.8
ahmaklık	aksaklık	0.75
ahmaklık	almazlık	0.75
ahmaklık	alçaklık	0.75
ahmaklık	anmalık	0.75
ahmaklık	ataklık	0.75
ahmaklık	ayaklık	0.75
ahmaklık	aylaklık	0.75
ahmaklık	aymazlık	0.75
ahmaklık	açmalık	0.75
ahmaklık	açmazlık	0.75
ahmaklık	başmaklık	0.7777777777777778
ahmaklık	kaçmaklık	0.7777777777777778
ahmaklık	parmaklık	0.7777777777777778
ahmaklık	çakmaklık	0.7777777777777778
ahmetli	ahretlik	0.75
ahmetli	haşmetli	0.75
ahmetli	rahmetlik	0.7777777777777778
ahretlik	baretlik	0.75
ahretlik	hasretlik	0.7777777777777778
ahretlik	rahmetlik	0.7777777777777778
aidiyet	ciddiyet	0.75
aidiyet	faikiyet	0.75
aidiyet	maddiyet	0.75
ajanlık	aslanlık	0.75
ajanlık	bakanlık	0.75
ajanlık	hakanlık	0.75
ajanlık	karanlık	0.75
ajanlık	kağanlık	0.75
ajanlık	nadanlık	0.75
ajanlık	sahanlık	0.75
ajanlık	samanlık	0.75
ajanlık	tabanlık	0.75
ajanlık	yabanlık	0.75
ajanlık	yavanlık	0.75
ajanlık	şabanlık	0.75
ajanlık	şamanlık	0.75
ajitasyon	animasyon	0.7777777777777778
ajitasyon	imitasyon	0.7777777777777778
ajitasyon	sanitasyon	0.8
akademi	akademici	0.7777777777777778
akademici	akademicilik	0.75
akademicilik	kadercilik	0.75
akademisyen	akademisyenlik	0.7857142857142857
akamber	akaramber	0.7777777777777778
akamber	kamber	0.8571428571428572
akamet	akaret	0.8333333333333334
akamet	alamet	0.8333333333333334
akamet	azamet	0.8333333333333334
akamet	ikamet	0.8333333333333334
akamet	sakamet	0.8571428571428572
akapunktur	akupunktur	0.9
akapunktur	akupunkturcu	0.75
akarca	avarca	0.8333333333333334
akarca	balkarca	0.75
akarca	malkarca	0.75
akarca	yakarca	0.8571428571428572
akaret	hakaret	0.8571428571428572
akarlar	pazarlar	0.75
akaryakıt	akaryakıtçı	0.8181818181818181
akasma	akasya	0.8333333333333334
akasma	akbasma	0.8571428571428572
akasya	kafkasya	0.75
akaçlama	aklama	0.75
akaçlama	alalama	0.75
akaçlama	alazlama	0.75
akaçlama	amaçlama	0.875
akaçlama	araklama	0.75
akaçlama	arkalama	0.75
akaçlama	ayarlama	0.75
akaçlama	azarlama	0.75
akaçlama	ağaçlaşma	0.7777777777777778
akaçlama	kaplama	0.75
akaçlama	katlama	0.75
akaçlama	yakalama	0.75
akağaç	akçaağaç	0.75
akbaba	akraba	0.8333333333333334
akbabagiller	kabakgiller	0.75
akbalık	akrabalık	0.7777777777777778
akbalık	aksaklık	0.75
akbalık	aktarlık	0.75
akbalık	alabalık	0.75
akbalık	albaylık	0.75
akbalık	arabalık	0.75
akbalık	baklalık	0.75
akbalık	lambalık	0.75
akbalık	yakmalık	0.75
akbalıkçıl	balıkçıl	0.8
akbasma	albasma	0.8571428571428572
akbenek	ağbenek	0.8571428571428572
akburçak	burçak	0.75
akbuğday	buğday	0.75
akdemir	aydemir	0.8571428571428572
akdeniz	akdenizli	0.7777777777777778
akdeniz	aradeniz	0.75
akdenizli	denizli	0.7777777777777778
akdoğan	aksoğan	0.8571428571428572
akdoğan	gökdoğan	0.75
akdoğan	sardoğan	0.75
akgünlük	günlük	0.75
akgünlük	özgünlük	0.75
akgünlük	üzgünlük	0.75
akhardal	hardal	0.75
akhaşhaş	haşhaş	0.75
akkaraman	karaman	0.7777777777777778
akkarınca	akkarıncalar	0.75
akkarınca	karınca	0.7777777777777778
akkarıncalar	atkaracalar	0.75
akkarıncalar	karıncalar	0.8333333333333334
akkavak	akçakavak	0.7777777777777778
akkelebek	kelebek	0.7777777777777778
akkorluk	korluk	0.75
akkuyruk	dikkuyruk	0.7777777777777778
akkuyruk	kuyruk	0.75
akkışla	şarkışla	0.75
aklama	aklanma	0.8571428571428572
aklama	aksama	0.8333333333333334
aklama	anlama	0.8333333333333334
aklama	araklama	0.75
aklama	arkalama	0.75
aklama	atlama	0.8333333333333334
aklama	avlama	0.8333333333333334
aklama	aylama	0.8333333333333334
aklama	ayıklama	0.75
aklama	açıklama	0.75
aklama	ağlama	0.8333333333333334
aklama	fakslama	0.75
aklama	haklaşma	0.75
aklama	oklama	0.8333333333333334
aklama	saklama	0.8571428571428572
aklama	yakalama	0.75
aklama	yaklaşma	0.75
aklanma	arılanma	0.75
aklanma	asılanma	0.75
aklanma	ayaklanma	0.7777777777777778
aklanma	ayıklanma	0.7777777777777778
aklanma	aşılanma	0.75
aklanma	bağlanma	0.75
aklanma	cakalanma	0.7777777777777778
aklanma	canlanma	0.75
aklanma	haklaşma	0.75
aklanma	nazlanma	0.75
aklanma	odaklanma	0.7777777777777778
aklanma	sallanma	0.75
aklanma	uzaklanma	0.7777777777777778
aklanma	yaklaşma	0.75
aklanma	yaslanma	0.75
aklanma	yaşlanma	0.75
aklevrek	levrek	0.75
akliyat	ameliyat	0.75
akliyat	bakliyat	0.875
akliyat	nakliyat	0.875
akliye	akliyeci	0.75
akliye	asliye	0.8333333333333334
akliye	nakliye	0.8571428571428572
akliyeci	ardiyeci	0.75
akliyeci	klişeci	0.75
akliyeci	maliyeci	0.75
akliyeci	nakliyeci	0.8888888888888888
akliyecilik	bevliyecilik	0.75
akliyecilik	klişecilik	0.8181818181818181
akliyecilik	maliyecilik	0.8181818181818181
akliyecilik	nakliyecilik	0.9166666666666666
akliyecilik	rantiyecilik	0.75
akliyecilik	tasfiyecilik	0.75
akmadde	hammadde	0.75
akmantar	kantar	0.75
akmantar	kökmantar	0.7777777777777778
akmantar	mantar	0.75
akordeon	akordeoncu	0.8
akordeon	akordiyon	0.7777777777777778
akordeon	kordon	0.75
akordeoncu	akordiyoncu	0.8181818181818181
akordiyon	akordiyoncu	0.8181818181818181
akortsuzluk	akortçuluk	0.8181818181818181
akortçuluk	başakortçuluk	0.7692307692307692
akrabalar	akrabalık	0.7777777777777778
akrabalık	akrobatlık	0.8
akrabalık	alabalık	0.7777777777777778
akrabalık	arabalı	0.7777777777777778
akrabalık	arabalık	0.8888888888888888
akrabalık	kabalık	0.7777777777777778
akrabalık	karabalık	0.7777777777777778
akrabalık	marabalık	0.7777777777777778
akreditasyon	meditasyon	0.75
akrilik	aksilik	0.8571428571428572
akrilik	aktiflik	0.75
akrilik	asrilik	0.8571428571428572
akrilik	bekrilik	0.75
akrilik	nakşilik	0.75
akrobasi	akrobat	0.75
akrofobi	algofobi	0.75
akromatin	kromatin	0.8888888888888888
akromatin	kromatit	0.7777777777777778
aksakal	akçakale	0.75
aksaklık	aktarlık	0.75
aksaklık	alçaklık	0.75
aksaklık	ataklık	0.75
aksaklık	ayaklık	0.75
aksaklık	aylaklık	0.75
aksaklık	kaklık	0.75
aksaklık	saklık	0.75
aksaklık	sarsaklık	0.7777777777777778
aksaklık	susaklık	0.75
aksaklık	çakmaklık	0.7777777777777778
aksama	aksata	0.8333333333333334
aksama	fakslama	0.75
aksama	uzaksama	0.75
aksama	ıraksama	0.75
aksaray	aksaraylı	0.7777777777777778
aksedir	aksediş	0.8571428571428572
aksesuar	aksesuarcı	0.8
aksilik	aktiflik	0.75
aksilik	asilik	0.8571428571428572
aksilik	eksiklik	0.75
aksilik	nakşilik	0.75
aksiyom	aksiyon	0.8571428571428572
aksiyon	aksiyoner	0.7777777777777778
aksiyon	diksiyon	0.75
aksiyon	eksizyon	0.75
aksiyon	fraksiyon	0.7777777777777778
aksiyon	mansiyon	0.75
aksiyon	pansiyon	0.75
aksiyon	reaksiyon	0.7777777777777778
aksiyon	seksiyon	0.75
aksiyon	tansiyon	0.75
aksiyon	traksiyon	0.7777777777777778
aksiyoner	pansiyoner	0.8
aksona	aksuna	0.8333333333333334
aksona	saksonya	0.75
aksoğan	göksoğan	0.75
aksoğan	saksağan	0.75
aksungur	baysungur	0.7777777777777778
aksungur	sungur	0.75
aksülamel	aksülümen	0.7777777777777778
aksülümen	sülümen	0.7777777777777778
aksırabilme	aksırtabilme	0.9166666666666666
aksırabilme	hapşırabilme	0.75
aksırtabilme	hapşırtabilme	0.7692307692307692
aksırık	aksırış	0.8571428571428572
aksırık	saksılık	0.75
aksırık	tıksırık	0.75
aksırıverme	hapşırıverme	0.75
aktariye	iftariye	0.75
aktariye	kantariye	0.7777777777777778
aktarlık	aktarım	0.75
aktarlık	aktörlük	0.75
aktarlık	aptallık	0.75
aktarlık	ataklık	0.75
aktarlık	atalık	0.75
aktarlık	ayyarlık	0.75
aktarlık	baytarlık	0.7777777777777778
aktarlık	iftarlık	0.75
aktarlık	karlık	0.75
aktarlık	mantarlık	0.7777777777777778
aktarlık	sakarlık	0.75
aktarlık	tutarlık	0.75
aktarma	aktarmacı	0.7777777777777778
aktarma	aktartma	0.875
aktarma	aktarılma	0.7777777777777778
aktarma	kantarma	0.75
aktarmacı	aktarmacılık	0.75
aktarmacı	aktarıcı	0.7777777777777778
aktarmacı	kaytarmacı	0.8
aktarmacılık	aktarıcılık	0.8333333333333334
aktarmacılık	akşamcılık	0.75
aktarmacılık	aşırmacılık	0.75
aktarmacılık	kakmacılık	0.75
aktarmacılık	kamacılık	0.75
aktarmacılık	karacılık	0.75
aktarmacılık	kaytarmacılık	0.8461538461538461
aktarmacılık	kazmacılık	0.75
aktarmacılık	kurmacılık	0.75
aktarmacılık	kurtarmacılık	0.7692307692307692
aktarmacılık	lotaryacılık	0.75
aktarmacılık	makarnacılık	0.75
aktarmacılık	pastırmacılık	0.7692307692307692
aktartma	aktarılma	0.7777777777777778
aktartma	aktarım	0.75
aktartma	aktutma	0.75
aktartma	ayartma	0.75
aktartma	tartma	0.75
aktarıcı	aktarım	0.75
aktarıcı	kaytarıcı	0.7777777777777778
aktarıcılık	kaytarıcılık	0.8333333333333334
aktarıcılık	kurtarıcılık	0.75
aktarıcılık	tektanrıcılık	0.7692307692307692
aktarıcılık	çoktanrıcılık	0.7692307692307692
aktarılma	aktarım	0.7777777777777778
aktavşan	tavşan	0.75
aktiflik	atiklik	0.75
aktinit	aktivist	0.75
aktinit	aktivite	0.75
aktinometre	inklinometre	0.75
aktinometre	klinometre	0.8181818181818181
aktivasyon	motivasyon	0.8
aktivist	aktivite	0.75
aktivist	aktivizm	0.75
aktivite	aktivizm	0.75
aktivite	antikite	0.75
aktivizm	atavizm	0.75
aktivizm	nativizm	0.75
aktöre	aktöreci	0.75
aktöreci	töreci	0.75
aktörlük	anketörlük	0.8
aktörlük	körlük	0.75
aktörlük	lektörlük	0.7777777777777778
aktörlük	rektörlük	0.7777777777777778
aktüalist	aktüalite	0.7777777777777778
aktüalist	aktüalizm	0.7777777777777778
aktüalite	aktüalizm	0.7777777777777778
aktüer	aktüerya	0.75
akupunktur	akupunkturcu	0.8333333333333334
akupunkturcu	akupunkturculuk	0.8
akvaryum	akvaryumcu	0.8
akvaryumcu	akvaryumculuk	0.7692307692307692
akyabalığı	aybalığı	0.8
akyabalığı	ayıbalığı	0.8
akyabalığı	kayabalığı	0.8
akyuvar	alyuvar	0.8571428571428572
akzambak	zambak	0.75
akçaabat	akçaağaç	0.75
akçaağaçgiller	karaağaçgiller	0.7857142857142857
akçakent	anakent	0.75
akçakent	yakakent	0.75
akçöpleme	çöpleme	0.7777777777777778
akçıllık	akşınlık	0.75
akçıllık	ardıllık	0.75
akçıllık	atçılık	0.75
akçıllık	açıklık	0.75
akçıllık	aşçılık	0.75
akçıllık	lakçılık	0.75
akçıllık	çakıllık	0.75
akıcılık	akılcılık	0.8888888888888888
akıcılık	akıllılık	0.7777777777777778
akıcılık	akıncılık	0.8888888888888888
akıcılık	algıcılık	0.7777777777777778
akıcılık	alçıcılık	0.7777777777777778
akıcılık	alıcılık	0.875
akıcılık	alımcılık	0.7777777777777778
akıcılık	aracılık	0.75
akıcılık	arıcılık	0.875
akıcılık	askıcılık	0.8888888888888888
akıcılık	atacılık	0.75
akıcılık	atıcılık	0.875
akıcılık	atımcılık	0.7777777777777778
