w1	w2	editsim	wn_wup
alınış	aşınış	0.8333333333333334	0.23529412
alırlık	çayırlık	0.75	0.21052632
alışma	atışma	0.8333333333333334	0.25
alışma	kalkışma	0.75	0.25
amasyalı	mayalı	0.75	0.25
amaçlama	ağaçlaşma	0.7777777777777778	0.23529412
ambiyans	ambulans	0.75	0.21052632
anadolulu	anaokulu	0.7777777777777778	0.18181819
anafora	matafora	0.75	0.2
anahtarlık	zanaatkarlık	0.75	0.23529412
analist	kabalist	0.75	0.2
andırın	andırış	0.8571428571428572	0.25
anlaşma	bazlaşma	0.75	0.25
antakya	fantazya	0.75	0.23529412
antalya	fantazya	0.75	0.23529412
antant	lantanit	0.75	0.2
anterlin	sterlin	0.75	0.1904762
antidot	antrikot	0.75	0.23529412
antikor	antrikot	0.75	0.22222222
antrakt	antrasit	0.75	0.23529412
anutluk	barutluk	0.75	0.25
anılaşma	aşılanma	0.75	0.25
anılaşma	katılaşma	0.7777777777777778	0.23529412
anılık	anızlık	0.8571428571428572	0.25
anızlık	cansızlık	0.7777777777777778	0.25
anızlık	kabızlık	0.75	0.21052632
anızlık	kanıklık	0.75	0.25
anızlık	tanıklık	0.75	0.22222222
anızlık	tanımlık	0.75	0.1904762
anızlık	yalnızlık	0.7777777777777778	0.25
anızlık	yansızlık	0.7777777777777778	0.25
apartman	departman	0.7777777777777778	0.21052632
apaşlık	apışlık	0.8571428571428572	0.21052632
arabizasyon	kanalizasyon	0.75	0.23529412
aragonit	argonot	0.75	0.16
arakesit	trakeit	0.75	0.22222222
arakiye	faraziye	0.75	0.2
arakçılık	kavakçılık	0.8	0.24
arantı	tarantı	0.8571428571428572	0.2
arasöz	arazöz	0.8333333333333334	0.22222222
araştırman	yaraştırma	0.8	0.22222222
ardeşen	kardelen	0.75	0.15384616
ardeşen	kurdeşen	0.75	0.2
armador	armadura	0.75	0.17391305
armudiye	cumudiye	0.75	0.16666667
armudiye	cümudiye	0.75	0.16666667
artırma	kaptırma	0.75	0.2
artırma	pastırma	0.75	0.22222222
artırma	saptırma	0.75	0.18181819
arıcılık	sarıcalık	0.7777777777777778	0.1904762
arıklık	yarışlık	0.75	0.25
arılama	aşılanma	0.75	0.25
arılanma	aşılanma	0.875	0.25
arılaşma	aşılanma	0.75	0.25
arılaştırma	sıvılaştırma	0.75	0.23529412
arınma	aşınma	0.8333333333333334	0.22222222
arınma	karınma	0.8571428571428572	0.22222222
asidifikasyon	kodifikasyon	0.7692307692307692	0.23529412
astronom	gastronomi	0.8	0.1904762
astronomi	gastronom	0.7777777777777778	0.18181819
asuman	pansuman	0.75	0.17391305
asılanma	aşılanma	0.875	0.25
asıltı	ayıltı	0.8333333333333334	0.21052632
ataklık	bacaklık	0.75	0.22222222
ataklık	çatallık	0.75	0.23529412
atalık	baltalık	0.75	0.22222222
atalık	çatallık	0.75	0.22222222
ateşleme	beşleme	0.75	0.1904762
ateşleme	öteleme	0.75	0.21052632
ateşlik	işteşlik	0.75	0.22222222
atiklik	patriklik	0.7777777777777778	0.22222222
atlanta	atlantik	0.75	0.23529412
atraksiyon	traksiyon	0.9	0.21052632
atçılık	çatkılık	0.75	0.1904762
atımlık	lazımlık	0.75	0.25
avadanlık	nadanlık	0.7777777777777778	0.22222222
avcılık	falcılık	0.75	0.23529412
avrovil	lavrovit	0.75	0.1904762
avuntu	savruntu	0.75	0.23529412
ayakbastı	aybastı	0.7777777777777778	0.23529412
ayaklık	manyaklık	0.7777777777777778	0.25
ayaklık	oynaklık	0.75	0.25
ayartma	ayırtman	0.75	0.16666667
aylaklık	ayvalık	0.75	0.22222222
aylaklık	bayraklık	0.7777777777777778	0.21052632
aylaklık	kulaklık	0.75	0.2
aynalık	ayvalık	0.8571428571428572	0.23529412
ayrıcalık	sarıcalık	0.7777777777777778	0.21052632
ayrışma	bağrışma	0.75	0.2
ayvacık	ayvazlık	0.75	0.22222222
ayvalık	ayvazlık	0.875	0.25
ayvalık	ayyarlık	0.75	0.22222222
ayvalık	ayyaşlık	0.75	0.25
ayvalık	haytalık	0.75	0.22222222
ayyarlık	baytarlık	0.7777777777777778	0.21052632
ayılık	çayırlık	0.75	0.25
ayırıcı	caydırıcı	0.7777777777777778	0.25
azdırma	bandırma	0.75	0.25
azınlık	lazımlık	0.75	0.23529412
açınma	aşınma	0.8333333333333334	0.21052632
ağalık	kağanlık	0.75	0.22222222
ağdalık	çağdaşlık	0.7777777777777778	0.21052632
ağlaşma	bazlaşma	0.75	0.22222222
ağnamcı	sağlamcı	0.75	0.22222222
ağızlık	kabızlık	0.75	0.22222222
aşıklık	sapıklık	0.75	0.23529412
aşılanma	ışıklanma	0.7777777777777778	0.21052632
aşılanma	ışılama	0.75	0.25
aşılanma	ışılatma	0.75	0.25
aşıntı	kaşıntı	0.8571428571428572	0.23529412
aşıntı	ışıntı	0.8333333333333334	0.2
aşırmacı	taşımacı	0.75	0.18181819
babaeski	babaevi	0.75	0.23529412
babilik	bazilika	0.75	0.2
bacaklık	bakanlık	0.75	0.22222222
bacaklık	basıklık	0.75	0.23529412
bacaklık	bayatlık	0.75	0.23529412
bacaklık	başakçık	0.75	0.23529412
bacaklık	başatlık	0.75	0.25
bacaklık	bunaklık	0.75	0.22222222
bacaklık	kabaklık	0.75	0.25
bacaklık	kazaklık	0.75	0.25
bacaklık	salaklık	0.75	0.25
bacaklık	sapaklık	0.75	0.25
bacanak	bağlanak	0.75	0.2
badana	kadana	0.8333333333333334	0.24
bademlik	baletlik	0.75	0.21052632
bademlik	hademelik	0.7777777777777778	0.22222222
bahailik	bahçelik	0.75	0.22222222
bahçecilik	sahtecilik	0.8	0.25
bahçelik	kahpelik	0.75	0.22222222
bakanak	bağlanak	0.75	0.2
bakanlık	baklalık	0.75	0.23529412
bakara	makara	0.8333333333333334	0.18181819
bakkaliye	başkafiye	0.7777777777777778	0.23529412
bakkallık	baklalık	0.7777777777777778	0.21052632
bakkallık	balkanlık	0.7777777777777778	0.22222222
baklalık	baylanlık	0.7777777777777778	0.25
baklalık	başkalık	0.75	0.25
baklalık	fazlalık	0.75	0.25
baklalık	halalık	0.75	0.25
baklalık	kuklalık	0.75	0.21052632
baklalık	lalalık	0.75	0.22222222
baklalık	sakalık	0.75	0.21052632
bakliyat	başfiyat	0.75	0.22222222
bakliyat	nakliyat	0.875	0.1904762
bakımlık	baskınlık	0.7777777777777778	0.25
bakımlık	basıklık	0.75	0.25
bakımlık	batkınlık	0.7777777777777778	0.21052632
bakımlık	satımlık	0.75	0.2
bakımlık	tanımlık	0.75	0.1904762
bakınma	kalkınma	0.75	0.25
bakıntı	baskıncı	0.75	0.16
bakıntı	kakıntı	0.8571428571428572	0.18181819
balama	bazlama	0.8571428571428572	0.21052632
balama	bazlamaç	0.75	0.21052632
balama	bazlaşma	0.75	0.22222222
balama	bağlama	0.8571428571428572	0.2
balcılık	baskılık	0.75	0.25
balcılık	çaltılık	0.75	0.21052632
balcılık	çalılık	0.75	0.22222222
baldır	balkır	0.8333333333333334	0.25
baldırak	baldırgan	0.7777777777777778	0.2
baldırak	balsıra	0.75	0.2
baldırak	bandıra	0.75	0.1904762
baldırak	bastırak	0.75	0.21052632
baldırak	kaldıraç	0.75	0.2
baldırak	çaldıran	0.75	0.21052632
baldıranlık	saldırganlık	0.8333333333333334	0.2
baldıranlık	saldırmazlık	0.75	0.23529412
baletlik	bileklik	0.75	0.21052632
baletlik	kalemlik	0.75	0.1904762
baletlik	lalelik	0.75	0.18181819
balkanlık	batkınlık	0.7777777777777778	0.22222222
baltalık	başkalık	0.75	0.25
baltalık	halalık	0.75	0.25
baltalık	kalfalık	0.75	0.21052632
baltalık	lalalık	0.75	0.22222222
baltalık	yaltaklık	0.7777777777777778	0.25
balyalık	palalık	0.75	0.22222222
bandıra	kandırma	0.75	0.21052632
bandırma	kaldırma	0.75	0.21052632
bandırma	kandırma	0.875	0.25
bandırma	uyandırma	0.7777777777777778	0.23529412
baraka	barbakan	0.75	0.21052632
barbakan	başbayan	0.75	0.18181819
barbarlık	baytarlık	0.7777777777777778	0.2
barcılık	baskılık	0.75	0.25
barcılık	kargılık	0.75	0.22222222
bardacık	vardacı	0.75	0.25
barikat	tahrikat	0.75	0.23529412
barmenlik	yarenlik	0.7777777777777778	0.21052632
barograf	paragraf	0.75	0.22222222
baronluk	barutluk	0.75	0.21052632
baronluk	burunluk	0.75	0.21052632
baronluk	patronluk	0.7777777777777778	0.23529412
barutluk	baturluk	0.75	0.23529412
barutluk	burukluk	0.75	0.1904762
barutluk	hasutluk	0.75	0.18181819
barınma	karınma	0.8571428571428572	0.25
baskılık	batkınlık	0.7777777777777778	0.25
baskılık	baççılık	0.75	0.25
baskılık	bağcılık	0.75	0.22222222
bastika	mastika	0.8571428571428572	0.2
baston	boston	0.8333333333333334	0.25
bastırım	batırık	0.75	0.23529412
basıla	hasıla	0.8333333333333334	0.25
basınç	kasınç	0.8333333333333334	0.23529412
batakçı	yatakçı	0.8571428571428572	0.18181819
baterist	laterit	0.75	0.22222222
batkınlık	çatkılık	0.7777777777777778	0.1904762
batman	vatman	0.8333333333333334	0.18181819
batmanlı	katmalı	0.75	0.17391305
batolit	statolit	0.75	0.25
battaniye	batıniye	0.7777777777777778	0.2
baturluk	buhurluk	0.75	0.25
batırık	natırlık	0.75	0.21052632
bayağılık	bukağılık	0.7777777777777778	0.25
bayilik	bazilika	0.75	0.21052632
baylanlık	çaydanlık	0.7777777777777778	0.2
bayram	bayramiç	0.75	0.22222222
bayramlaşma	bayrampaşa	0.8181818181818181	0.22222222
bazilika	gazilik	0.75	0.23529412
bazlama	bağlanma	0.75	0.25
bazlama	bağlaşma	0.75	0.23529412
bazlama	nazlanma	0.75	0.21052632
bazlaşma	bağdaşma	0.75	0.25
bazlaşma	bağlaşma	0.875	0.25
bazlaşma	bozlama	0.75	0.22222222
bazlaşma	bulaşma	0.75	0.25
bazlaşma	dalaşma	0.75	0.21052632
bazlaşma	gazlama	0.75	0.22222222
bazlaşma	nazlanma	0.75	0.22222222
bazlaşma	tozlaşma	0.75	0.25
bazlaşma	uzlaşma	0.75	0.17391305
bazlaşma	yaklaşma	0.75	0.22222222
bazlaşma	yozlaşma	0.75	0.23529412
bağcılık	dağcılık	0.875	0.25
bağcılık	falcılık	0.75	0.23076923
bağlayış	çağlayık	0.75	0.22222222
bağlaşma	buğulaşma	0.7777777777777778	0.25
bağlık	sağlık	0.8333333333333334	0.23529412
bağımsızlık	yağışsızlık	0.8181818181818181	0.25
başaltı	boşaltış	0.75	0.23529412
başkale	başkalık	0.75	0.25
başkale	başmakale	0.7777777777777778	0.2
başlama	haşlama	0.8571428571428572	0.22222222
bedbinlik	benzinlik	0.7777777777777778	0.22222222
bedevilik	medenilik	0.7777777777777778	0.22222222
bedirik	ebedilik	0.75	0.25
beklenmezlik	beslemelik	0.75	0.22222222
beklenti	beslengi	0.75	0.2
bekletme	belleme	0.75	0.23529412
bekletme	belletmen	0.7777777777777778	0.2
belginlik	bilgilik	0.7777777777777778	0.23529412
belirleme	belleme	0.7777777777777778	0.21052632
belirme	yeldirme	0.75	0.21052632
belirtme	seğirtme	0.75	0.21052632
beliye	bevliye	0.8571428571428572	0.22222222
belleme	beşleme	0.8571428571428572	0.23529412
bengilik	bilgilik	0.75	0.25
beniçinci	benzinci	0.7777777777777778	0.25
benzeşlik	benzinlik	0.7777777777777778	0.25
benzinlik	bezginlik	0.7777777777777778	0.23529412
benzinlik	enginlik	0.7777777777777778	0.23529412
benzinlik	zenginlik	0.7777777777777778	0.25
berberlik	biberlik	0.7777777777777778	0.22222222
berberlik	mermerlik	0.7777777777777778	0.2
berdel	gerdel	0.8333333333333334	0.2
beriberi	periferi	0.75	0.22222222
besicilik	sevicilik	0.7777777777777778	0.22222222
beslengi	fesrengi	0.75	0.18181819
beslenme	evlenme	0.75	0.25
bevliye	tevliyet	0.75	0.23529412
beygirci	seyirci	0.75	0.23529412
biberlik	liderlik	0.75	0.25
biberlik	çizerlik	0.75	0.21052632
bibilik	bilgilik	0.75	0.22222222
bibilik	cibinlik	0.75	0.2
bileklik	dilleklik	0.7777777777777778	0.22222222
bileyici	izleyici	0.75	0.21052632
bileşke	birleşme	0.75	0.25
bilgilik	bircilik	0.75	0.2
bilgilik	dilcilik	0.75	0.1904762
bilgilik	millilik	0.75	0.23529412
bilgilik	sililik	0.75	0.22222222
bilgilik	tilkilik	0.75	0.22222222
bilişimci	gelişimci	0.7777777777777778	0.22222222
bilmemezlik	işitmemezlik	0.75	0.22222222
bilmezlik	tilmizlik	0.7777777777777778	0.25
bilmezlik	ölmezlik	0.7777777777777778	0.23529412
boliçe	poliçe	0.8333333333333334	0.16666667
bollanma	hollanda	0.75	0.21052632
bolonya	kolonya	0.8571428571428572	0.2
bombay	dombay	0.8333333333333334	0.15384616
borina	morina	0.8333333333333334	0.15384616
borucu	bozucu	0.8333333333333334	0.21052632
bostan	boston	0.8333333333333334	0.23529412
bovling	brovning	0.75	0.17391305
boyunluk	bozgunluk	0.7777777777777778	0.25
boyunluk	bozukluk	0.75	0.23529412
boyunluk	boğukluk	0.75	0.25
boyunluk	bunluk	0.75	0.23529412
boyunluk	doygunluk	0.7777777777777778	0.25
boyunluk	koyuluk	0.75	0.25
boyunluk	çoğunluk	0.75	0.22222222
bozukluk	solukluk	0.75	0.25
boğalık	doğallık	0.75	0.17391305
boğukluk	oğulluk	0.75	0.22222222
boğuşma	yoğuşma	0.8571428571428572	0.2
boşaltma	bunaltma	0.75	0.25
briket	kriket	0.8333333333333334	0.21052632
buharlaştırma	darlaştırma	0.7692307692307692	0.22222222
buharlaştırma	kararlaştırma	0.7692307692307692	0.2
buhran	buhurdan	0.75	0.25
buhran	bukran	0.8333333333333334	0.25
buhurluk	burukluk	0.75	0.2
bulgarca	bulgurcu	0.75	0.25
bulgurlu	burdurlu	0.75	0.23529412
bungunluk	burunluk	0.7777777777777778	0.23529412
bunluk	burunluk	0.75	0.23529412
bunluk	buzluk	0.8333333333333334	0.25
burağan	kurlağan	0.75	0.18181819
burkuntu	burunotu	0.75	0.21052632
burukluk	çubukluk	0.75	0.21052632
burunluk	durgunluk	0.7777777777777778	0.22222222
burunluk	duruluk	0.75	0.21052632
burunluk	kuruluk	0.75	0.23529412
burunluk	vurgunluk	0.7777777777777778	0.22222222
burunotu	kuruntu	0.75	0.22222222
burunotu	vuruntu	0.75	0.22222222
böceklik	köpeklik	0.75	0.25
bıcırgan	bıçılgan	0.75	0.2
bızdık	dızdık	0.8333333333333334	0.21052632
camlaştırma	darlaştırma	0.8181818181818181	0.23529412
camlaştırma	ilahlaştırma	0.75	0.23529412
camlaştırma	kamulaştırma	0.8333333333333334	0.22222222
camlaştırma	yasalaştırma	0.75	0.23529412
camlık	cağlık	0.8333333333333334	0.25
candanlık	yağdanlık	0.7777777777777778	0.22222222
candanlık	çaydanlık	0.7777777777777778	0.1904762
candanlık	şamdanlık	0.7777777777777778	0.23529412
canlılık	çalılık	0.75	0.25
caydırıcı	kaldırıcı	0.7777777777777778	0.21052632
cazcılık	mazılık	0.75	0.22222222
celeplik	eleklik	0.75	0.22222222
cellatlık	evlatlık	0.7777777777777778	0.22222222
cellâtlık	evlâtlık	0.7777777777777778	0.22222222
cereme	pereme	0.8333333333333334	0.18181819
cesurluk	susurluk	0.75	0.25
cevahir	zevahir	0.8571428571428572	0.22222222
cevizlik	semizlik	0.75	0.22222222
cevizlik	temizlik	0.75	0.23529412
cevizlik	çeviklik	0.75	0.2
ceyhan	ceylan	0.8333333333333334	0.17391305
cibinlik	nikbinlik	0.7777777777777778	0.2
cibinlik	şirinlik	0.75	0.21052632
cilacılık	kiracılık	0.7777777777777778	0.18181819
coşuntu	koşuntu	0.8571428571428572	0.21052632
cülusiye	cümudiye	0.75	0.25
cılızlık	yıldızlık	0.7777777777777778	0.25
cırnak	cırnık	0.8333333333333334	0.2
cırnık	çırnık	0.8333333333333334	0.18181819
dakiklik	dikizlik	0.75	0.25
dakiklik	makilik	0.75	0.25
dalancılık	oğlancılık	0.8	0.22222222
dalavere	dilaver	0.75	0.18181819
damacı	damlacık	0.75	0.22222222
damlalık	lalalık	0.75	0.25
damping	kamping	0.8571428571428572	0.21052632
damıtıcı	dağıtımcı	0.7777777777777778	0.2
danışman	tanışma	0.75	0.2
danışık	tanışık	0.8571428571428572	0.25
darbecik	derecik	0.75	0.21052632
dargınlık	kargılık	0.7777777777777778	0.22222222
dayılık	çayırlık	0.75	0.25
dağalası	dağlağı	0.75	0.16
dedektif	direktif	0.75	0.2
dedektif	efektif	0.75	0.16666667
dedelik	dengelik	0.75	0.22222222
defetme	denetmen	0.75	0.21052632
define	sefine	0.8333333333333334	0.2
defnetme	denetmen	0.75	0.2
dekadan	dekadans	0.875	0.2
dekstrin	doktrin	0.75	0.25
delegelik	dengelik	0.7777777777777778	0.21052632
delirme	değirmen	0.75	0.25
delirme	yeldirme	0.75	0.25
demetçik	sepetçik	0.75	0.22222222
demircik	emirlik	0.75	0.22222222
demlik	kemlik	0.8333333333333334	0.17391305
demlik	temlik	0.8333333333333334	0.17391305
deneyimcilik	devrimcilik	0.75	0.2
dengelik	çengilik	0.75	0.21052632
denizli	densizlik	0.7777777777777778	0.22222222
denizlik	denklik	0.75	0.17391305
denizlik	densizlik	0.8888888888888888	0.21052632
denizlik	dinsizlik	0.7777777777777778	0.21052632
denizlik	semizlik	0.75	0.23529412
denizlik	temizlik	0.75	0.25
denizlik	yenilik	0.75	0.25
derviş	çerviş	0.8333333333333334	0.22222222
designer	desister	0.75	0.1904762
destan	destar	0.8333333333333334	0.23529412
destar	destur	0.8333333333333334	0.25
detektif	direktif	0.75	0.18181819
detektif	efektif	0.75	0.15384616
devecilik	sevicilik	0.7777777777777778	0.21052632
develik	severlik	0.75	0.23529412
develik	zevcelik	0.75	0.25
devrek	levrek	0.8333333333333334	0.18181819
devrimcilik	getirimcilik	0.75	0.21052632
dezenfeksiyon	dezenflasyon	0.7692307692307692	0.22222222
dezenflasyon	dezenformasyon	0.7857142857142857	0.25
değinme	değirmen	0.75	0.2
değirmen	değişme	0.75	0.22222222
değirmen	seğirme	0.75	0.1904762
değişimci	gelişimci	0.7777777777777778	0.23529412
değiştirme	yetiştirme	0.8	0.23529412
difraksiyon	fraksiyon	0.8181818181818181	0.25
dikicilik	dikizlik	0.7777777777777778	0.21052632
dikizlik	dinsizlik	0.7777777777777778	0.23529412
dikizlik	dişillik	0.75	0.25
diksiyon	direksiyon	0.8	0.22222222
dilcilik	dişçilik	0.75	0.22222222
dilenci	dinlence	0.75	0.23529412
dilencilik	kilercilik	0.8	0.22222222
dilotu	dişotu	0.8333333333333334	0.23529412
dincilik	dişçilik	0.75	0.25
dincilik	incirlik	0.75	0.21052632
dinginci	dizgici	0.75	0.21052632
dinleme	dişleme	0.8571428571428572	0.22222222
dinlenme	dişleme	0.75	0.23529412
diyabaz	diyastaz	0.75	0.25
diyafram	diyagram	0.875	0.2
diyaklaz	diyakoz	0.75	0.1904762
diyaklaz	diyalaj	0.75	0.1904762
diyaklaz	diyastaz	0.75	0.21052632
diyastaz	diyastol	0.75	0.17391305
dişillik	dişlik	0.75	0.22222222
dişillik	dişçilik	0.75	0.25
dişçilik	işçelik	0.75	0.21052632
dodurga	dondurma	0.75	0.25
dokurcuk	çoğurcuk	0.75	0.1904762
dokuyuculuk	dokuzunculuk	0.8333333333333334	0.21052632
dokuyuculuk	koruyuculuk	0.8181818181818181	0.23529412
dokuyuculuk	okuyuculuk	0.9090909090909091	0.21052632
dolantaşı	dolantı	0.7777777777777778	0.25
dondurma	doğurma	0.75	0.22222222
doygunluk	oyunluk	0.7777777777777778	0.25
doğancılık	oğlancılık	0.8	0.22222222
doğrama	doğrulama	0.7777777777777778	0.22222222
doğrama	doğrulma	0.75	0.21052632
doğululuk	oğulluk	0.7777777777777778	0.22222222
doğurganlık	soğurganlık	0.9090909090909091	0.25
doğurma	soğurma	0.8571428571428572	0.23529412
doğurtma	oturtma	0.75	0.23529412
doğurtma	soğurma	0.75	0.23529412
dragoman	drahoma	0.75	0.1904762
dragoman	fragman	0.75	0.16666667
dripling	kipling	0.75	0.16
duraklama	duvaklanma	0.8	0.22222222
duvaklanma	uzaklanma	0.8	0.25
duvaklanma	yuvarlanma	0.8	0.21052632
dârlık	kârlık	0.8333333333333334	0.21052632
dölleme	dörtleme	0.75	0.25
dönmeli	dövmelik	0.75	0.18181819
dünürlük	düğürcük	0.75	0.25
düvencilik	güvencecilik	0.75	0.1904762
düşünücü	üşütücü	0.75	0.22222222
dışarılık	haşarılık	0.7777777777777778	0.22222222
ebediyet	sebebiyet	0.7777777777777778	0.25
ebeleme	erteleme	0.75	0.22222222
ebeleme	esenleme	0.75	0.23529412
ebeleme	ezberleme	0.7777777777777778	0.21052632
ebeleme	geneleme	0.75	0.2
ebeleme	gezeleme	0.75	0.2
ebeleme	lekeleme	0.75	0.23529412
ebeleme	peçeleme	0.75	0.22222222
ebeleme	zedeleme	0.75	0.21052632
edinti	esinti	0.8333333333333334	0.22222222
efelek	efelik	0.8333333333333334	0.21052632
ekicilik	sevicilik	0.7777777777777778	0.22222222
ekinci	sekinci	0.8571428571428572	0.22222222
ekinlik	enginlik	0.75	0.23529412
ekinlik	erginlik	0.75	0.25
ekinlik	ezginlik	0.75	0.23529412
ekinlik	hekimlik	0.75	0.1904762
ekinlik	sakinlik	0.75	0.23529412
ekinlik	sâkinlik	0.75	0.23529412
ekinlik	tepkinlik	0.7777777777777778	0.23529412
ekinlik	vekillik	0.75	0.25
ekinlik	yetkinlik	0.7777777777777778	0.25
ekinlik	çetinlik	0.75	0.23529412
ekinokok	ekinoks	0.75	0.2
eklenti	eğlenti	0.8571428571428572	0.25
eklenti	yüklenti	0.75	0.23529412
eksiklenme	oksitlenme	0.8	0.21052632
eleklik	ereklik	0.8571428571428572	0.25
eleklik	eylemlik	0.75	0.22222222
eleklik	eşeklik	0.8571428571428572	0.23529412
elenti	eğlenti	0.8571428571428572	0.25
eleşkirt	eleştiri	0.75	0.25
eleştirmecilik	özleştirmecilik	0.8666666666666667	0.21052632
eleştirmen	üleştirme	0.8	0.1904762
elmalık	olmazlık	0.75	0.23529412
emdirme	empirme	0.8571428571428572	0.23529412
emdirme	gezdirme	0.75	0.23529412
emdirme	sezdirme	0.75	0.23529412
emircik	kemircik	0.875	0.16
emirlik	kemircik	0.75	0.22222222
emirlik	yemişlik	0.75	0.25
emirlik	zeminlik	0.75	0.25
enjeksiyon	ereksiyon	0.8	0.22222222
entegrasyon	integrasyon	0.9090909090909091	0.25
epiderm	epikerem	0.75	0.2
erdenlik	örenlik	0.75	0.25
ereklik	çerezlik	0.75	0.23529412
ereksiyon	rezeksiyon	0.8	0.25
ergenlik	örenlik	0.75	0.25
ergilik	servilik	0.75	0.25
eriklik	eziklik	0.8571428571428572	0.23529412
eriklik	heriflik	0.75	0.22222222
eriklik	çeviklik	0.75	0.2
eriklik	şerirlik	0.75	0.22222222
erinlik	feriklik	0.75	0.22222222
erirlik	serinlik	0.75	0.23529412
ermişlik	yemişlik	0.75	0.22222222
esenleşme	esterleşme	0.8	0.22222222
esirlik	resimlik	0.75	0.25
eskilik	testilik	0.75	0.23529412
eskime	esrime	0.8333333333333334	0.25
espressivo	espresso	0.8	0.1904762
etiketlik	etkenlik	0.7777777777777778	0.25
evcilik	sevicilik	0.7777777777777778	0.21052632
evolüsyon	solüsyon	0.7777777777777778	0.22222222
eylemlik	kalemlik	0.75	0.1904762
eşeklik	fişeklik	0.75	0.2
eşeklik	gereklik	0.75	0.25
fabrika	farika	0.8571428571428572	0.23529412
falcılık	çaltılık	0.75	0.17391305
falcılık	çalılık	0.75	0.18181819
fantasma	kantarma	0.75	0.22222222
fatalist	kabalist	0.75	0.17391305
fatalizm	kataliz	0.75	0.21052632
fazlalık	palalık	0.75	0.2
federasyon	jenerasyon	0.8	0.23529412
fenalık	kenarlık	0.75	0.23529412
feriklik	ferizli	0.75	0.1904762
feriklik	gereklik	0.75	0.21052632
feriklik	serinlik	0.75	0.18181819
fethiye	methiye	0.8571428571428572	0.23529412
fidanlık	nadanlık	0.75	0.22222222
fidanlık	tiranlık	0.75	0.23529412
filateli	filibeli	0.75	0.1904762
filateli	polateli	0.75	0.21052632
filgiller	ilgililer	0.7777777777777778	0.25
fisyon	misyon	0.8333333333333334	0.25
fitnelik	iğnelik	0.75	0.21052632
fitnelik	vişnelik	0.75	0.1904762
fodulluk	folluk	0.75	0.21052632
fodulluk	oğulluk	0.75	0.17391305
fonograf	monografi	0.7777777777777778	0.23529412
fonolit	konsolit	0.75	0.16
fonolog	monolog	0.8571428571428572	0.2
formel	formen	0.8333333333333334	0.22222222
formol	formül	0.8333333333333334	0.25
fraksiyon	traksiyon	0.8888888888888888	0.22222222
frenklik	örenlik	0.75	0.22222222
friksiyon	traksiyon	0.7777777777777778	0.2
fıkracılık	fırçacılık	0.8	0.2
fındıklık	zındıklık	0.8888888888888888	0.25
fırkacılık	fırçacılık	0.9	0.2
fırkata	fırlatma	0.75	0.21052632
